,Long ID,Short ID,Entry time,Exit time,Entry Price,Exit Price,Signal,Long Quantity,Short Quantity,RSI,ATR,Change in PnL,PnL,Remarks,Cash
14,8,,2023-05-04 11:00:00+00:00,2023-05-08 15:00:00+00:00,29280.05859375,27990.9375,Long,8.104315491619255,,68.07374035054404,415.3810255078954,-10447.444050651284,131554.3901829029,Exit Long Algo,226610.0935737395
15,,8,2023-05-08 15:00:00+00:00,2023-05-15 10:00:00+00:00,27990.9375,27407.708984375,Short,,8.087742094389148,15.713411550042998,519.3058017671827,4717.001816468412,136271.3919993713,Exit Short Algo,230874.10181315397
16,9,,2023-05-15 10:00:00+00:00,2023-05-24 20:00:00+00:00,27407.708984375,26246.818359375,Long,8.415268413818513,,68.47931862867574,279.7277435299875,-9769.206208460531,126502.18579091076,Exit Long Algo,220643.37827516894
17,,9,2023-05-24 20:00:00+00:00,2023-05-28 03:00:00+00:00,26246.818359375,27107.83203125,Short,,8.398074459114845,25.6278894392148,441.91127920879313,-7230.856926722127,119271.32886418863,Exit Short Algo,212971.45523527477
18,10,,2023-05-28 03:00:00+00:00,2023-06-01 15:00:00+00:00,27107.83203125,26897.916015625,Long,7.8485982772348155,,68.91495584988878,194.40032485279957,-1647.5464785983716,117623.78238559025,Exit Long Algo,210898.17881766107
19,,10,2023-06-01 15:00:00+00:00,2023-06-17 02:00:00+00:00,26897.916015625,26189.11328125,Short,,7.832847738704186,20.332177552087355,199.99391035554768,5551.943895136563,123175.72628072681,Exit Short Algo,216028.5372533411
20,11,,2023-06-17 02:00:00+00:00,2023-07-18 12:00:00+00:00,26189.11328125,29880.76953125,Long,8.240542793428517,,68.91860366274652,468.28716951068964,30421.251306752845,153596.97758747966,Exit Long Algo,246017.9475141245
21,,11,2023-07-18 12:00:00+00:00,2023-08-02 11:00:00+00:00,29880.76953125,29515.8828125,Short,,8.225087018243503,17.15518258549578,166.06149762897192,3001.2250135200934,156598.20260099976,Exit Short Algo,248527.38265056387
22,12,,2023-08-02 11:00:00+00:00,2023-08-16 22:00:00+00:00,29515.8828125,28901.951171875,Long,8.411703517225208,,68.93643477924817,337.86289834084505,-5164.210940781155,151433.9916602186,Exit Long Algo,242866.36547186424
23,,12,2023-08-16 22:00:00+00:00,2023-08-24 03:00:00+00:00,28901.951171875,26371.607421875,Short,,8.394710020218067,9.704821470948586,146.63660714718762,21241.50203272116,172675.49369293975,Exit Short Algo,263622.3776400072
24,13,,2023-08-24 03:00:00+00:00,2023-09-01 11:00:00+00:00,26371.607421875,25990.890625,Long,9.986450619006014,,69.14529146674778,296.2663900008515,-3802.009491818331,168873.48420112144,Exit Long Algo,259293.38701528648
25,,13,2023-09-01 11:00:00+00:00,2023-09-08 00:00:00+00:00,25990.890625,26245.208984375,Short,,9.966341568115125,22.80649886028445,451.22466253602937,-2534.6236365739032,166338.86056454753,Exit Short Algo,256240.43589806903
26,14,,2023-09-08 00:00:00+00:00,2023-09-12 02:00:00+00:00,26245.208984375,25139.65625,Long,9.753559044417223,,69.0709909870939,258.2023988022923,-10783.073871443472,155555.78669310405,Exit Long Algo,244945.1373952653
27,,14,2023-09-12 02:00:00+00:00,2023-09-12 22:00:00+00:00,25139.65625,26091.416015625,Short,,9.733633181952122,7.424451653076022,333.6089995793255,-9264.080435934475,146291.70625716957,Exit Short Algo,235191.4116296777
28,15,,2023-09-12 22:00:00+00:00,2023-10-11 02:00:00+00:00,26091.416015625,27439.0078125,Long,9.00511570845151,,68.2979327211908,435.03264592326383,12135.22005861946,158426.92631578902,Exit Long Algo,246856.48405644944
29,,15,2023-10-11 02:00:00+00:00,2023-10-16 01:00:00+00:00,27439.0078125,27144.625,Short,,8.987556301509143,20.45345298590167,173.2315220414279,2645.7821015403592,161072.70841732938,Exit Short Algo,249008.80004636096
30,16,,2023-10-16 01:00:00+00:00,2023-11-14 16:00:00+00:00,27144.625,36150.43359375,Long,9.164237533077529,,68.50220815457712,159.1624506042513,82531.3691305559,243604.0775478853,Exit Long Algo,331042.40058562416
31,,16,2023-11-14 16:00:00+00:00,2023-11-16 05:00:00+00:00,36150.43359375,37462.00390625,Short,,9.148198937293378,20.911845542562652,301.52802903535445,-11998.506138998044,231605.57140888725,Exit Short Algo,318382.1406878555
32,17,,2023-11-16 05:00:00+00:00,2023-11-27 16:00:00+00:00,37462.00390625,36756.55859375,Long,8.490302850406335,,68.72149322026712,948.8810292900984,-5989.444347524538,225616.1270613627,Exit Long Algo,311756.2504410959
33,,17,2023-11-27 16:00:00+00:00,2023-11-29 02:00:00+00:00,36756.55859375,37952.9140625,Short,,8.4731679489606,25.192030112926687,338.14906438288546,-10136.920813376235,215479.20624798647,Exit Short Algo,300996.1288830879
34,18,,2023-11-29 02:00:00+00:00,2023-12-11 16:00:00+00:00,37952.9140625,41789.59375,Long,7.922847037753856,,68.8446789347177,512.2238340202806,30397.426296919766,245876.63254490623,Exit Long Algo,330791.86391837033
35,,18,2023-12-11 16:00:00+00:00,2023-12-14 10:00:00+00:00,41789.59375,42914.0703125,Short,,7.907735931375307,14.474913189218444,903.5941634397236,-8892.063717270641,236984.56882763558,Exit Short Algo,321238.5472651269
36,19,,2023-12-14 10:00:00+00:00,2023-12-27 01:00:00+00:00,42914.0703125,42362.9140625,Long,7.478137272482985,,68.91117503607649,756.7064518499401,-4121.6220960869505,232862.94673154864,Exit Long Algo,316474.76931305695
